title,description,job_levels,languages,duration_minutes,test_type,url,remote_support,adaptive_support
General Entry Level Data Entry 7.0 Solution,"our general entry level data entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. this solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner. this solution can be used across all industries with entry-level positions. example titles include, but are not limited to: accounting clerk, accounts receivable clerk, administrative clerk, clerical aide, clerical assistant, office assistant, office services specialist, staff assistant. report language availability: english (usa)","general population, entry-level",english (usa),24,"behavioral, k",https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No
Agency Manager Solution,"the agency manager solution is for mid-level sales management positions that include front line management and sales responsibilities. sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. potential job titles that use this solution are: agency manager, brokerage manager. multiple configurations of this solution are available.","front line manager, manager, supervisor",english (usa),51,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Yes,Yes
Manager 8.0 JFA,the manager 8.0 job-focused assessment is designed for candidates applying to their first leadership positions. it measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. it is most relevant to positions that supervise salaried employees. this jfa includes the reskilling potential scale and the management potential scale. the reskilling potential scale measures tendency to learn from experiences in a way that supports professional success. the management potential scale measures the potential for managerial success across industry type and functional area.,manager,"english (usa), english international",26,"behavioral, k, personality",https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,Yes,No
Service Associate Solution,"the service associate is designed for entry-level positions that are primarily task focused but may include a customer service component. the solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms. potential job titles that use this solution are: housekeeper, buffet server, room service attendant, and valet. multiple configurations of this solution are available.",entry-level,english (usa),38,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/service-associate-solution/,Yes,Yes
Supervisor 7.1 (International),"our supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. report language availability: english international, german, portuguese, spanish, norwegian, swedish, dutch, french, english (usa) important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.","supervisor, front line manager","italian, norwegian, spanish, english (usa), french, german, dutch, swedish, portuguese, english international",29,"personality, cognitive, behavioral",https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,Yes,No
Accounts Receivable (New),multiple-choice test that measures the knowledge of processing receivables and invoices.,"entry-level, graduate, mid-professional, professional individual contributor",english (usa),13,k,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Yes,No
Contact Center Customer Service + 8.0,"the contact center 8.0 - customer service job focused assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. this jfa includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.",entry-level,"english (usa), english international, french, german, latin american spanish, chinese simplified, portuguese (brazil), japanese",41,"ability, behavioral, cognitive, personality, skills",https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/,Yes,No
Support Associate Solution,"the support associate solution is designed for entry-level positions that involve little to no interaction with customers. the solution covers a wide variety of support positions in the hospitality industry, and sample tasks may include: food preparation, dishwashing, and/or cleaning. potential job titles that use this solutin are: janitor, food prep, laundry associate and dishwasher. multiple configurations of this solution are available.",entry-level,english (usa),38,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/support-associate-solution/,Yes,Yes
Guest Service Team 7.0 Solution,"our guest service team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. the solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. potential job titles that use this solution include: server, hostess, guest services team member, customer service champion. report language availability: english (usa), latin american spanish.",entry-level,"french (canada), latin american spanish, english (usa), english international",18,behavioral,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,Yes,No
Teller 7.0,"teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the bank to its customers. the teller solution contains scales that measure a persons ability to handle money, prevent transactional errors, promote quality customer service, and generate sales or referrals appropriately.",entry-level,english (usa),35,"behavioral, k, personality, skills",https://www.shl.com/products/product-catalog/view/teller-7-0/,Yes,Yes
Sales Manager Solution,"the sales manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a significant portion of their job performance based on sales. sample tasks for these jobs include, but are not limited to: planning and preparing sales plans, promoting products to customers, training subordinates, building ongoing customer relationships, and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: sales manager and manager of direct sales.","front line manager, manager",english (usa),63,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/sales-manager-solution/,Yes,Yes
Industrial - Entry Level 7.1 (International),"our industrial entry level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. the solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. potential job titles that use this solution include: laborer, custodians, building and grounds maintenance workers, handyman. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international and americas.",entry-level,"dutch, norwegian, german, english international, portuguese (brazil), english (usa), french (canada)",20,behavioral,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Yes,No
Technology Professional 8.0 Job Focused Assessment,"the technology job focused assessment assesses key behavioral attributes required for success in fast-paced, rapidly evolving technology environments , providing an indication of the candidates longer term potential. it is available as part of shls technology hiring solution.","entry-level, graduate, mid-professional, professional individual contributor","german, spanish, latin american spanish, french, italian, indonesian, chinese simplified, french (canada), english international, english (usa)",16,"cognitive, personality",https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes,No
Administrative Professional - Short Form,"the administrative professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. potential job titles that use this solution are: administrative assistant, secretary, office manager, administrative aide, and administrative associate.",entry-level,english (usa),36,"ability, k, personality",https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes
.NET XAML (New),"multi-choice test that measures the knowledge of xaml triggers, data binding, custom controls and layouts.","mid-professional, professional individual contributor",english (usa),5,k,https://www.shl.com/products/product-catalog/view/net-xaml-new/,Yes,No
.NET Framework 4.5,"the.net framework 4.5 test measures knowledge of .net environment. designed for experienced users, this test covers the following topics: application development, application foundation, data modeling, deployment, diagnostics, performance, portability, and security.","professional individual contributor, mid-professional",english (usa),30,k,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Yes,Yes
Project Manager - Short Form,"the project manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. sample tasks for this job include, but are not limited to: guiding, supervising, and influencing project team members, scoping project resource requirements, and managing project timelines, scope and budgets. potential job titles that ues this solution are: project manager, implementation manager, construction project manager and it project manager.",professional individual contributor,english (usa),49,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/project-manager-short-form/,Yes,Yes
Nurse Leader Solution,"the nurse leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. potential job titles that use this solution are: nurse leader or nurse manager. there are multiple configurations and versions of this solution available.","front line manager, manager, supervisor",english (usa),59,"skills, ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,Yes,Yes
General Entry Level - All Industries 7.0 Solution,"our general entry level all industries 7.0 solution is designed for entry-level positions across industries. this solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. solution can be used across all industries with entry-level positions. example titles include, but are not limited to: administrator, clerk, veterinary assistant, stocker, dish washer, office coordinator, tour guide, cook, assistant, housekeeper, waste collector.",entry-level,"english (usa), english international, french (canada), latin american spanish",19,behavioral,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes,No
Industrial - Entry Level 7.0 Solution,"our industrial entry level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. the solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. potential job titles that use this solution include: laborer, custodians, building and grounds maintenance workers, handyman. report language availability: english (usa), latin american spanish.",entry-level,"french (canada), english (usa), english international, latin american spanish",20,behavioral,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,Yes,No
Store Manager 7.1 (Americas),"our store manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","front line manager, manager","english (usa), latin american spanish, portuguese (brazil), french (canada)",34,"behavioral, cognitive",https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,Yes,No
Customer Service - Short Form - UK,"the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.",entry-level,english international,42,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk/,Yes,Yes
Network Engineer/Analyst Solution,"the network engineer/analyst solution is designed for use with professional level telecommunications engineers and network analysts. the solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. potential job titles that use this solution are: network engineer, network analyst, and communications engineer. there are multiple configurations of this solution available.",professional individual contributor,english (usa),41,"personality, skills, k, behavioral, ability",https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,Yes,Yes
Nursing Assistant Solution,"the nursing assistant solution is for entry-level positions in a clinic or hospital environment. sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients conditions, including measuring and recording food intake. potential job titles that use this solution are: certified nursing assistant, nursing aide, patient care technician, and hospital attendant. multiple configurations of this solution are available.",entry-level,english (usa),41,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,Yes,No
Executive - Short Form,"the executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities and operations at the highest level of an organization. executives at this level often accomplish their work through subordinate executives and provide overall direction to their organization by determining and formulating policies within guidelines set up by a board of directors or similar governing body. potential job titles that use this solution are: executive vice president, president, and executive director.",executive,english (usa),74,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/executive-short-form/,Yes,Yes
Store Manager 7.1 (International),"our store manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","front line manager, manager","latin american spanish, english international",34,"cognitive, behavioral",https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,Yes,No
Entry Level Customer Service 7.1 (Americas),"the entry level customer service solution (retail and contact center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international, south africa and americas.",entry-level,"german, finnish, portuguese (brazil), english (usa), norwegian, dutch, arabic, swedish, french (canada), italian, danish, english international, chinese simplified, latin american spanish, french",19,"cognitive, personality",https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Yes,No
Workplace Safety Solution,"the workplace safety solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in the workplace. this solution measures ones general tendency to behave safely in the workplace using a variety of assessment types including personality traits, safety-related situational judgment, and biodata. potential job titles that use this solution are: material handler, shipping operator, driver, forklift operator, crewman, mechanic, and receiver.",entry-level,"english (usa), english (australia)",21,"behavioral, personality",https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,Yes,Yes
Reservation Agent Solution,"the reservation agent solution is designed for entry-level positions within the hospitality industry. sample tasks may indlude making, updating, or canceling reservations; looking up information and entering information into a computer; providing information on the hotel and the services offered. potential titles that use this solution are: reservation agent, customer service representative and reservationist. multiple configurations of this solution are available.",entry-level,english (usa),43,"ability, personality, skills, behavioral",https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,Yes,Yes
Sales Professional Solution,"the sales professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. potential job titles that use this solution are: sales consultant, sales representative, and account representative. multiple configurations of this solution are available.",mid-professional,english (usa),47,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/sales-professional-solution/,Yes,Yes
Technician/Technologist Solution,"the technician/technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients. sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer. potential job titles that use this solutionare: radiologic technician, medical technologist/technician, and laboratory technologist. multiple configurations of this solution are available.",mid-professional,english (usa),52,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,Yes,Yes
Professional/Individual Contributor - Short Form,"the professional/individual contributor solution is for mid to upper-level, non-managerial positions. sample tasks for these jobs include, but are not limited to: meeting with clients to determine their needs, analyzing data sets, and working with co-workers to complete projects. potential job titles that use this solution are: engineer, human resource consultant, and it analyst.","mid-professional, professional individual contributor",english (usa),44,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,Yes,Yes
Insurance Administrative Assistant Solution,"the administrative assistant solution is for entry-level clerical positions that interact with external or internal customers. sample tasks for this job include, but are not limited to: answering telephones; managing files and records; sorting mail; handling information requests; greeting customers; and collaborating with co-workers on projects. potential job titles that use this solution are: receptionist and administrative assistant. multiple configurations of this solution are available.",entry-level,english (usa),24,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,Yes,Yes
Workplace Safety - Team 7.1 (International),"the workplace safety team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining.","entry-level, general population, professional individual contributor","english international, finnish, french, dutch, latin american spanish, swedish, portuguese (brazil), italian, german, french (canada), danish",20,"behavioral, cognitive, personality",https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,Yes,No
Entry Level Customer Service 7.1 (South Africa),"the entry level customer service solution (retail and contact center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international, south africa and americas.",entry-level,english international,19,"cognitive, personality",https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Yes,No
Contact Centre Agent Solution - UK,"this solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. the candidate answers multiple choice questions as well as questions in a customer call simulation environment. the solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. in addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.",entry-level,english international,39,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/,Yes,No
Entry Level Sales Sift Out 7.1,"the entry level sales sift out 7.1 solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer",entry-level,"swedish, chinese simplified, finnish, english (usa), portuguese (brazil), french, danish, italian, arabic, dutch, french (canada), latin american spanish, english international, norwegian, german",20,"cognitive, personality, behavioral",https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes,No
Sales Representative Solution,"the sales representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. potential job titles that use this solution are: sales representative, sales associate, and sales clerk. multiple configurations of this solution are available.",entry-level,english (usa),29,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/sales-representative-solution/,Yes,Yes
Customer Service with Sales - Short Form,"the customer service with sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and sales representative.",entry-level,english (usa),44,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/,Yes,Yes
Sales Professional 7.1 (Americas),"our sales professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","professional individual contributor, mid-professional","english (usa), portuguese (brazil), latin american spanish, french (canada)",21,"behavioral, cognitive",https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,Yes,No
Store Manager Solution,"the store manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: store manager, first line supervisor, retail manager, restaurant manager, and customer service supervisor. multiple configuration options of this solution are available.","manager, supervisor",english (usa),49,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/store-manager-solution/,Yes,Yes
Stock Clerk Solution,"the stock clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked. sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments. potential job titles that use this solution are: stock clerk, inventory associate, and warehouse associate. multiple configurations of this solution are available.",entry-level,english (usa),25,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,Yes,No
Hospitality Manager Solution,"the hospitality manager solution is designed for management level positions in the hospitality industry. sample tasks include overall property management, managing staff and managing the guest experience. the solution is focused on managing business operations, managing staff, solving problems, making good decisions and maintaining focus on the customer. potential job titles that use this solution are: property manager, property director, hotel manager and hospitality manager. multiple configurations of this solution are available.","front line manager, manager, supervisor",english (usa),57,"ability, behavioral, k, personality",https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,Yes,Yes
Manager + 7.1 (International),"our manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), canadian french, brazilian portuguese, danish, dutch, finnish, italian, norwegian, swedish. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is americas and international.","director, executive, front line manager, manager","french (canada), dutch, finnish, norwegian, swedish, portuguese (brazil), danish, english (usa), italian",63,"behavioral, cognitive, personality",https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,Yes,Yes
Customer Service - Short Form,"the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.",entry-level,"english (usa), english international",42,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/customer-service-short-form/,Yes,Yes
Nurse Solution,"the nurse solution is for professional-level healthcare nursing positions that require licensing or registration. sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients medical information, creating a nursing care plan, and educating patients about healthcare issues. potential job titles that use this solution are: registered nurse, charge nurse, licensed practical nurse, and clinic nurse. multiple configurations of this solution are available.",professional individual contributor,english (usa),66,"personality, ability, behavioral",https://www.shl.com/products/product-catalog/view/nurse-solution/,Yes,Yes
Branch Manager - Short Form,"this solution is for mid to upper-level financial institution managerial positions. candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. there are multiple configurations and versions of this solution available.","front line manager, manager, supervisor",english (usa),50,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Yes,No
Insurance Sales Manager Solution,"the sales manager solution is for entry- to mid-level management positions that involve supervising employees working in an insurance organization and have a substantial portion of their job performance based on sales. sample tasks for this job include, but are not limited to: planning and preparing work schedules; promoting products to customers; training subordinates; analyzing sales statistics gathered by staff to determine sales potential and monitor preferences of customers; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: insurance sales manager, sales manager, assistant sales manager, and sales supervisor. multiple configurations of this solution are available.","front line manager, manager, supervisor",english (usa),51,"ability, behavioral, personality, skills",https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,Yes,Yes
Retail Manager w/ Sales Solution,"the retail manager with sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees but also have a significant portion of their job performance based on sales and customer service. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: assistant manager, sales supervisor, retail manager, and floor leader. there are multiple configurations and versions of this solution available.","front line manager, manager, supervisor",english (usa),43,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,Yes,Yes
Manager 8.0+ JFA,"the manager 8.0 job-focused assessment is designed for candidates applying to their first leadership positions and includes shls new innovative mobile-first ability assessment, verify interactive inductive reasoning. it measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. it is most relevant to positions that supervise salaried employees. this jfa includes the reskilling potential scale and the management potential scale. the reskilling potential scale measures tendency to learn from experiences in a way that supports professional success. the management potential scale measures the potential for managerial success across industry type and functional area.",manager,"english (usa), english international",44,"behavioral, k, personality",https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,Yes,No
Workplace Safety - Team 7.0 Solution,"the workplace safety team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining. report language availability: english (usa), latin american spanish.",director,"english international, english (usa), french (canada), latin american spanish",20,behavioral,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,Yes,No
Financial Professional - Short Form,"this solution is for mid-level financial institution positions that require series 6/7 certification. candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus.","mid-professional, professional individual contributor",english (usa),35,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,Yes,No
Graduate 8.0 Job Focused Assessment,"the graduate 8.0 job focused assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. it also provides actionable feedback to help you onboard new hires. it is designed for professional level positions appropriate for recent college graduates and is available as part of shls graduate solution.",graduate,"english (usa), english international, italian, french, german, dutch, chinese simplified, swedish, finnish, norwegian, danish, chinese traditional, turkish, romanian, japanese, latin american spanish, indonesian, portuguese (brazil), arabic, polish",20,"personality, behavioral",https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,No
Technical Sales Associate Solution,"the technical sales associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. potential job titles that use this solution are: sales representative, retail sales associate, and sales clerk. multiple configurations of this solution are available.",entry-level,english (usa),41,"ability, behavioral, personality",https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,Yes,No
Entry level Sales 7.1 (International),"the entry level sales 7.1 solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. report language availability: english (usa), english international, portuguese, french canadian, german, french, chinese simplified, spanish, north american spanish.",entry-level,"english (usa), spanish, latin american spanish, french, german, french (canada), english international, chinese simplified, portuguese",20,"personality, behavioral, cognitive",https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,Yes,No
Manager - Short Form,"the manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. potential job titles that use this solution are: manager, store manager, and branch manager.","front line manager, manager, supervisor",english (usa),57,"ability, behavioral, k, personality, skills",https://www.shl.com/products/product-catalog/view/manager-short-form/,Yes,Yes
